item,vision,coord,pure,cheat,failure
GM-0001,"—","12/12（100%）","12/12（100%）",N,—
GM-0002,"—","11/12（92%）","10/12（83%）",N,F04
GM-0003,"—","11/12（92%）","12/12（100%）",N,F04
GM-0004,"—","5/12（42%）","6/12（50%）",N,F05
GM-0005,"—","4/12（33%）","2/12（17%）",N,F07
GM-0006,"—","12/12（100%）","10/12（83%）",N,F04
GM-0007,"—","12/12（100%）","12/12（100%）",N,—
GM-0008,"—","5/12（42%）","10/12（83%）",N,F05 F04
GM-0009,"—","12/12（100%）","12/12（100%）",N,—
GM-0010,"—","4/12（33%）","0/12（0%）",N,F07
GM-0101,"6/10（60%）","11/16（69%）","11/16（69%）",N,F05
GM-0102,"6.5/10（65%）","14/14（100%）","10/14（71%）",N,F05 F04
GM-0103,"3/10（30%）","4/14（29%）","7/14（50%）",N,F01 F07 F05
GM-0104,"1/10（10%）","10/14（71%）","0/14（0%）",N,F01 F04 F07
GM-0105,"3/10（30%）","2/14（14%）","2/14（14%）",N,F01 F07
GM-0106,"5/10（50%）","13/15（87%）","0/15（0%） ⚠",Y,F05 F04 F06
GM-0107,"4/10（40%）","7/14（50%）","2/14（14%）",N,F05 F07
GM-0108,"0/10（0%）","13/15（87%）","7/15（47%）",N,F01 F04 F05
ALL,36%,69%,55%,1,
